activity_date,sku_id,product_detail_views,add_to_cart,online_orders
2026-01-02,1015,31,0,0
2026-01-02,1016,29,3,1
2026-01-02,1017,31,2,1
2026-01-02,1018,23,2,1
2026-01-02,1019,23,2,1
2026-01-02,1020,28,2,0
2026-01-02,1021,29,4,0
2026-01-02,1022,22,0,0
2026-01-02,1023,19,2,2
2026-01-02,1024,24,0,0
2026-01-02,1025,21,1,0
2026-01-02,1026,28,3,1
2026-01-02,1027,17,0,0
2026-01-02,1028,22,2,0
2026-01-02,1029,16,1,0
2026-01-02,1030,24,4,2
2026-01-02,1031,11,1,0
2026-01-02,1032,29,0,0
2026-01-02,1033,25,3,1
2026-01-02,1034,23,2,1
2026-01-02,1035,22,0,0
2026-01-02,1036,21,2,0
2026-01-02,1037,23,0,0
2026-01-02,1038,34,6,3
2026-01-02,1039,22,1,0
2026-01-02,1040,25,3,2
2026-01-02,1041,12,0,0
2026-01-02,1042,21,3,0
2026-01-02,1043,17,0,0
2026-01-02,1044,19,0,0
2026-01-02,1045,16,3,1
2026-01-02,1046,9,2,1
2026-01-02,1047,12,2,1
2026-01-02,1048,13,1,1
2026-01-02,1049,10,1,0
2026-01-02,1050,12,0,0
2026-01-02,1051,11,2,2
2026-01-02,1052,11,1,0
2026-01-02,1053,16,3,2
2026-01-02,1054,16,1,1
2026-01-02,1055,17,0,0
2026-01-02,1056,16,0,0
2026-01-02,1057,24,0,0
2026-01-02,1058,8,1,0
2026-01-02,1059,21,1,1
2026-01-02,1060,12,1,1
2026-01-03,1001,21,3,0
2026-01-03,1002,37,3,2
2026-01-03,1003,31,1,0
2026-01-03,1004,27,4,1
2026-01-03,1005,27,4,2
2026-01-03,1006,24,5,0
2026-01-03,1007,29,3,2
2026-01-03,1008,25,4,2
2026-01-03,1009,40,6,3
2026-01-03,1010,22,3,3
2026-01-03,1011,24,0,0
2026-01-03,1012,23,3,1
2026-01-03,1013,20,1,1
2026-01-03,1014,19,3,1
2026-01-03,1015,20,2,0
2026-01-03,1016,15,1,0
2026-01-03,1017,26,2,2
2026-01-03,1018,28,3,1
2026-01-03,1019,22,0,0
2026-01-03,1020,20,2,2
2026-01-03,1021,25,3,0
2026-01-03,1022,22,3,1
2026-01-03,1023,25,0,0
2026-01-03,1024,27,0,0
2026-01-03,1025,23,2,1
2026-01-03,1026,27,2,1
2026-01-03,1027,24,3,0
2026-01-03,1028,21,1,0
2026-01-03,1029,21,2,1
2026-01-03,1030,18,2,1
2026-01-03,1031,21,0,0
2026-01-03,1032,15,2,0
2026-01-03,1033,25,5,2
2026-01-03,1034,17,0,0
2026-01-03,1035,18,0,0
2026-01-03,1036,24,0,0
2026-01-03,1037,24,3,0
2026-01-03,1038,22,2,1
2026-01-03,1039,27,0,0
2026-01-03,1040,24,3,0
2026-01-03,1041,13,2,0
2026-01-03,1042,19,2,0
2026-01-03,1043,16,0,0
2026-01-03,1044,25,1,0
2026-01-03,1045,15,2,1
2026-01-03,1046,18,5,1
2026-01-03,1047,17,1,1
2026-01-03,1048,12,1,0
2026-01-03,1049,12,1,0
2026-01-03,1050,14,0,0
2026-01-03,1051,13,0,0
2026-01-03,1052,10,1,0
2026-01-03,1053,7,1,0
2026-01-03,1054,25,1,0
2026-01-03,1055,14,2,0
2026-01-03,1056,15,2,1
2026-01-03,1057,13,3,0
2026-01-03,1058,10,0,0
2026-01-03,1059,14,0,0
2026-01-03,1060,7,0,0
2026-01-04,1001,30,6,2
2026-01-04,1002,22,2,1
2026-01-04,1003,34,7,2
2026-01-04,1004,33,4,1
2026-01-04,1005,34,5,2
2026-01-04,1006,32,2,0
2026-01-04,1007,26,0,0
2026-01-04,1008,24,1,0
2026-01-04,1009,25,0,0
2026-01-04,1010,27,0,0
2026-01-04,1011,20,3,0
2026-01-04,1012,17,1,0
2026-01-04,1013,22,2,0
2026-01-04,1014,21,0,0
2026-01-04,1015,24,3,1
2026-01-04,1016,23,3,0
2026-01-04,1017,22,4,2
2026-01-04,1018,24,2,1
2026-01-04,1019,28,1,1
2026-01-04,1020,28,0,0
2026-01-04,1021,15,0,0
2026-01-04,1022,26,4,2
2026-01-04,1023,23,1,0
2026-01-04,1024,25,1,0
2026-01-04,1025,28,3,0
2026-01-04,1026,20,1,1
2026-01-04,1027,23,0,0
2026-01-04,1028,17,3,2
2026-01-04,1029,16,4,4
2026-01-04,1030,27,2,0
2026-01-04,1031,20,2,2
2026-01-04,1032,24,0,0
2026-01-04,1033,14,1,0
2026-01-04,1034,19,0,0
2026-01-04,1035,22,3,0
2026-01-04,1036,17,1,0
2026-01-04,1037,14,1,0
2026-01-04,1038,22,2,0
2026-01-04,1039,23,2,0
2026-01-04,1040,27,3,0
2026-01-04,1041,21,0,0
2026-01-04,1042,10,0,0
2026-01-04,1043,25,0,0
2026-01-04,1044,22,3,0
2026-01-04,1045,19,2,0
2026-01-04,1046,19,2,1
2026-01-04,1047,22,2,1
2026-01-04,1048,13,2,0
2026-01-04,1049,15,0,0
2026-01-04,1050,21,1,0
2026-01-04,1051,11,2,0
2026-01-04,1052,8,0,0
2026-01-04,1053,14,0,0
2026-01-04,1054,19,2,1
2026-01-04,1055,17,3,2
2026-01-04,1056,16,1,0
2026-01-04,1057,13,3,2
2026-01-04,1058,13,1,0
2026-01-04,1059,8,1,0
2026-01-04,1060,18,1,0
2026-01-05,1001,35,5,1
2026-01-05,1002,35,1,0
2026-01-05,1003,18,2,0
2026-01-05,1004,16,2,1
2026-01-05,1005,25,1,0
2026-01-05,1006,24,0,0
2026-01-05,1007,25,2,0
2026-01-05,1008,25,3,1
2026-01-05,1009,25,2,1
2026-01-05,1010,22,2,0
2026-01-05,1011,24,3,1
2026-01-05,1012,24,0,0
2026-01-05,1013,27,3,0
2026-01-05,1014,18,0,0
2026-01-05,1015,26,2,1
2026-01-05,1016,21,3,0
2026-01-05,1017,24,1,0
2026-01-05,1018,24,2,1
2026-01-05,1019,22,2,0
2026-01-05,1020,27,2,0
2026-01-05,1021,33,0,0
2026-01-05,1022,22,2,0
2026-01-05,1023,18,1,0
2026-01-05,1024,13,1,1
2026-01-05,1025,22,1,0
2026-01-05,1026,21,1,0
2026-01-05,1027,13,2,1
2026-01-05,1028,20,4,3
2026-01-05,1029,24,1,1
2026-01-05,1030,18,0,0
2026-01-05,1031,20,2,0
2026-01-05,1032,29,1,0
2026-01-05,1033,22,1,0
2026-01-05,1034,31,3,1
2026-01-05,1035,29,2,1
2026-01-05,1036,24,0,0
2026-01-05,1037,19,2,0
2026-01-05,1038,26,1,1
2026-01-05,1039,19,3,0
2026-01-05,1040,28,1,0
2026-01-05,1041,17,0,0
2026-01-05,1042,11,3,1
2026-01-05,1043,12,0,0
2026-01-05,1044,18,1,0
2026-01-05,1045,12,1,1
2026-01-05,1046,15,3,0
2026-01-05,1047,14,2,0
2026-01-05,1048,15,0,0
2026-01-05,1049,19,0,0
2026-01-05,1050,14,3,3
2026-01-05,1051,14,0,0
2026-01-05,1052,10,2,1
2026-01-05,1053,24,3,0
2026-01-05,1054,9,0,0
2026-01-05,1055,15,0,0
2026-01-05,1056,14,0,0
2026-01-05,1057,13,1,0
2026-01-05,1058,15,1,1
2026-01-05,1059,13,2,0
2026-01-05,1060,13,0,0
2026-01-06,1001,19,3,0
2026-01-06,1002,22,3,1
2026-01-06,1003,27,5,0
2026-01-06,1004,38,7,0
2026-01-06,1005,24,3,1
2026-01-06,1006,18,1,0
2026-01-06,1007,27,3,2
2026-01-06,1008,20,5,1
2026-01-06,1009,33,2,0
2026-01-06,1010,17,2,1
2026-01-06,1011,23,3,2
2026-01-06,1012,27,5,1
2026-01-06,1013,19,3,1
2026-01-06,1014,26,1,0
2026-01-06,1015,19,6,3
2026-01-06,1016,24,1,0
2026-01-06,1017,18,4,1
2026-01-06,1018,21,3,1
2026-01-06,1019,26,1,0
2026-01-06,1020,17,3,1
2026-01-06,1021,20,4,1
2026-01-06,1022,22,2,2
2026-01-06,1023,17,0,0
2026-01-06,1024,14,0,0
2026-01-06,1025,24,1,0
2026-01-06,1026,18,1,0
2026-01-06,1027,18,2,2
2026-01-06,1028,22,1,0
2026-01-06,1029,16,1,0
2026-01-06,1030,15,2,1
2026-01-06,1031,21,2,1
2026-01-06,1032,18,2,0
2026-01-06,1033,19,2,0
2026-01-06,1034,21,2,1
2026-01-06,1035,19,4,2
2026-01-06,1036,18,1,1
2026-01-06,1037,16,1,0
2026-01-06,1038,21,0,0
2026-01-06,1039,25,1,0
2026-01-06,1040,24,2,2
2026-01-06,1041,24,1,1
2026-01-06,1042,13,0,0
2026-01-06,1043,15,0,0
2026-01-06,1044,16,0,0
2026-01-06,1045,24,1,1
2026-01-06,1046,19,2,0
2026-01-06,1047,12,0,0
2026-01-06,1048,19,1,0
2026-01-06,1049,16,1,0
2026-01-06,1050,11,2,1
2026-01-06,1051,19,2,0
2026-01-06,1052,10,1,0
2026-01-06,1053,13,1,0
2026-01-06,1054,20,1,1
2026-01-06,1055,16,4,0
2026-01-06,1056,11,1,0
2026-01-06,1057,16,0,0
2026-01-06,1058,17,1,0
2026-01-06,1059,20,2,0
2026-01-06,1060,12,3,1
2026-01-07,1001,25,4,1
2026-01-07,1002,23,1,0
2026-01-07,1003,33,2,0
2026-01-07,1004,25,4,1
2026-01-07,1005,29,1,1
2026-01-07,1006,20,5,2
2026-01-07,1007,26,3,1
2026-01-07,1008,23,4,2
2026-01-07,1009,24,1,1
2026-01-07,1010,17,2,1
2026-01-07,1011,27,3,0
2026-01-07,1012,26,2,0
2026-01-07,1013,17,2,1
2026-01-07,1014,32,3,0
2026-01-07,1015,23,0,0
2026-01-07,1016,23,1,0
2026-01-07,1017,24,2,1
2026-01-07,1018,30,0,0
2026-01-07,1019,25,4,0
2026-01-07,1020,18,0,0
2026-01-07,1021,28,4,2
2026-01-07,1022,19,1,0
2026-01-07,1023,31,4,0
2026-01-07,1024,20,2,0
2026-01-07,1025,13,3,1
2026-01-07,1026,23,3,0
2026-01-07,1027,24,4,1
2026-01-07,1028,17,0,0
2026-01-07,1029,15,1,0
2026-01-07,1030,9,2,1
2026-01-07,1031,27,2,0
2026-01-07,1032,25,1,0
2026-01-07,1033,16,0,0
2026-01-07,1034,34,5,1
2026-01-07,1035,25,1,1
2026-01-07,1036,17,3,2
2026-01-07,1037,23,2,1
2026-01-07,1038,23,1,0
2026-01-07,1039,27,4,0
2026-01-07,1040,23,4,2
2026-01-07,1041,13,1,0
2026-01-07,1042,15,1,0
2026-01-07,1043,19,0,0
2026-01-07,1044,14,2,0
2026-01-07,1045,10,0,0
2026-01-07,1046,11,1,1
2026-01-07,1047,11,0,0
2026-01-07,1048,14,2,0
2026-01-07,1049,12,1,0
2026-01-07,1050,15,3,2
2026-01-07,1051,11,0,0
2026-01-07,1052,16,1,0
2026-01-07,1053,11,1,1
2026-01-07,1054,12,1,0
2026-01-07,1055,18,0,0
2026-01-07,1056,10,0,0
2026-01-07,1057,13,1,0
2026-01-07,1058,13,0,0
2026-01-07,1059,8,1,1
2026-01-07,1060,16,1,0
2026-01-08,1001,23,1,0
2026-01-08,1002,29,3,1
2026-01-08,1003,19,2,0
2026-01-08,1004,21,3,0
2026-01-08,1005,24,0,0
2026-01-08,1006,25,1,0
2026-01-08,1007,24,1,0
2026-01-08,1008,28,1,1
2026-01-08,1009,28,1,0
2026-01-08,1010,22,2,1
2026-01-08,1011,24,1,1
2026-01-08,1012,23,1,0
2026-01-08,1013,20,0,0
2026-01-08,1014,24,4,0
2026-01-08,1015,23,3,0
2026-01-08,1016,28,0,0
2026-01-08,1017,22,4,2
2026-01-08,1018,17,3,2
2026-01-08,1019,25,3,1
2026-01-08,1020,35,3,0
2026-01-08,1021,19,3,0
2026-01-08,1022,14,1,1
2026-01-08,1023,19,1,0
2026-01-08,1024,20,2,0
2026-01-08,1025,23,3,0
2026-01-08,1026,14,0,0
2026-01-08,1027,21,2,0
2026-01-08,1028,24,1,1
2026-01-08,1029,20,0,0
2026-01-08,1030,20,2,0
2026-01-08,1031,23,3,1
2026-01-08,1032,24,3,0
2026-01-08,1033,22,2,0
2026-01-08,1034,18,0,0
2026-01-08,1035,21,2,0
2026-01-08,1036,27,0,0
2026-01-08,1037,15,0,0
2026-01-08,1038,21,3,1
2026-01-08,1039,22,0,0
2026-01-08,1040,23,1,0
2026-01-08,1041,7,1,0
2026-01-08,1042,18,0,0
2026-01-08,1043,17,2,0
2026-01-08,1044,18,0,0
2026-01-08,1045,21,2,0
2026-01-08,1046,19,2,0
2026-01-08,1047,13,1,1
2026-01-08,1048,18,1,1
2026-01-08,1049,12,0,0
2026-01-08,1050,20,1,0
2026-01-08,1051,15,0,0
2026-01-08,1052,14,0,0
2026-01-08,1053,11,0,0
2026-01-08,1054,16,1,0
2026-01-08,1055,18,2,0
2026-01-08,1056,13,2,0
2026-01-08,1057,10,1,0
2026-01-08,1058,14,1,0
2026-01-08,1059,18,2,2
2026-01-08,1060,12,0,0
2026-01-09,1001,27,4,4
2026-01-09,1002,19,1,1
2026-01-09,1003,18,1,0
2026-01-09,1004,31,6,1
2026-01-09,1005,29,1,0
2026-01-09,1006,23,3,2
2026-01-09,1007,21,1,0
2026-01-09,1008,31,3,0
2026-01-09,1009,25,3,0
2026-01-09,1010,23,2,1
2026-01-09,1011,16,1,1
2026-01-09,1012,21,1,0
2026-01-09,1013,21,1,0
2026-01-09,1014,21,0,0
2026-01-09,1015,22,3,2
2026-01-09,1016,25,2,1
2026-01-09,1017,23,1,1
2026-01-09,1018,21,1,1
2026-01-09,1019,20,1,0
2026-01-09,1020,21,1,0
2026-01-09,1021,16,2,0
2026-01-09,1022,21,1,1
2026-01-09,1023,13,0,0
2026-01-09,1024,17,3,0
2026-01-09,1025,23,2,0
2026-01-09,1026,21,4,0
2026-01-09,1027,18,2,0
2026-01-09,1028,25,1,0
2026-01-09,1029,23,0,0
2026-01-09,1030,16,2,1
2026-01-09,1031,16,2,0
2026-01-09,1032,25,2,0
2026-01-09,1033,25,1,1
2026-01-09,1034,23,2,0
2026-01-09,1035,22,0,0
2026-01-09,1036,21,2,0
2026-01-09,1037,25,1,0
2026-01-09,1038,24,2,1
2026-01-09,1039,20,2,0
2026-01-09,1040,18,1,1
2026-01-09,1041,21,1,1
2026-01-09,1042,17,0,0
2026-01-09,1043,12,1,0
2026-01-09,1044,11,1,0
2026-01-09,1045,13,2,0
2026-01-09,1046,17,0,0
2026-01-09,1047,17,1,0
2026-01-09,1048,15,1,0
2026-01-09,1049,18,1,0
2026-01-09,1050,11,2,1
2026-01-09,1051,16,0,0
2026-01-09,1052,17,1,1
2026-01-09,1053,8,1,0
2026-01-09,1054,10,0,0
2026-01-09,1055,21,4,1
2026-01-09,1056,9,1,0
2026-01-09,1057,11,0,0
2026-01-09,1058,17,3,0
2026-01-09,1059,14,2,1
2026-01-09,1060,14,1,0
2026-01-10,1001,26,3,1
2026-01-10,1002,30,4,1
2026-01-10,1003,32,5,2
2026-01-10,1004,25,2,1
2026-01-10,1005,31,6,1
2026-01-10,1006,20,1,0
2026-01-10,1007,26,3,0
2026-01-10,1008,24,0,0
2026-01-10,1009,26,4,0
2026-01-10,1010,24,2,1
2026-01-10,1011,12,3,1
2026-01-10,1012,25,3,2
2026-01-10,1013,13,1,0
2026-01-10,1014,18,2,1
2026-01-10,1015,23,3,0
2026-01-10,1016,11,0,0
2026-01-10,1017,19,2,0
2026-01-10,1018,17,1,0
2026-01-10,1019,25,1,0
2026-01-10,1020,22,1,0
2026-01-10,1021,23,0,0
2026-01-10,1022,18,0,0
2026-01-10,1023,17,2,1
2026-01-10,1024,19,0,0
2026-01-10,1025,29,4,0
2026-01-10,1026,28,1,0
2026-01-10,1027,15,0,0
2026-01-10,1028,27,1,0
2026-01-10,1029,22,2,0
2026-01-10,1030,26,2,1
2026-01-10,1031,18,0,0
2026-01-10,1032,24,2,1
2026-01-10,1033,17,0,0
2026-01-10,1034,18,1,0
2026-01-10,1035,17,1,1
2026-01-10,1036,27,4,1
2026-01-10,1037,21,3,1
2026-01-10,1038,27,2,0
2026-01-10,1039,20,2,1
2026-01-10,1040,24,0,0
2026-01-10,1041,21,2,0
2026-01-10,1042,10,1,0
2026-01-10,1043,16,1,0
2026-01-10,1044,6,0,0
2026-01-10,1045,19,0,0
2026-01-10,1046,19,1,0
2026-01-10,1047,15,1,1
2026-01-10,1048,22,5,0
2026-01-10,1049,18,0,0
2026-01-10,1050,29,2,1
2026-01-10,1051,13,2,1
2026-01-10,1052,9,0,0
2026-01-10,1053,7,0,0
2026-01-10,1054,9,2,1
2026-01-10,1055,8,1,0
2026-01-10,1056,21,2,0
2026-01-10,1057,10,0,0
2026-01-10,1058,14,0,0
2026-01-10,1059,14,1,0
2026-01-10,1060,13,0,0
2026-01-11,1001,29,1,0
2026-01-11,1002,18,3,1
2026-01-11,1003,21,3,0
2026-01-11,1004,27,3,1
2026-01-11,1005,29,0,0
2026-01-11,1006,26,1,0
2026-01-11,1007,18,2,0
2026-01-11,1008,27,3,0
2026-01-11,1009,30,1,0
2026-01-11,1010,23,1,0
2026-01-11,1011,21,1,0
2026-01-11,1012,21,0,0
2026-01-11,1013,28,2,1
2026-01-11,1014,19,4,1
2026-01-11,1015,28,2,1
2026-01-11,1016,16,1,0
2026-01-11,1017,17,2,1
2026-01-11,1018,20,5,0
2026-01-11,1019,29,5,2
2026-01-11,1020,25,2,1
2026-01-11,1021,16,2,2
2026-01-11,1022,26,2,0
2026-01-11,1023,24,0,0
2026-01-11,1024,21,0,0
2026-01-11,1025,17,1,0
2026-01-11,1026,18,2,1
2026-01-11,1027,29,3,1
2026-01-11,1028,19,4,0
2026-01-11,1029,18,4,0
2026-01-11,1030,22,3,1
2026-01-11,1031,35,3,0
2026-01-11,1032,21,1,0
2026-01-11,1033,30,4,1
2026-01-11,1034,15,2,2
2026-01-11,1035,23,0,0
2026-01-11,1036,23,0,0
2026-01-11,1037,19,1,0
2026-01-11,1038,21,0,0
2026-01-11,1039,21,3,2
2026-01-11,1040,25,1,1
2026-01-11,1041,15,3,1
2026-01-11,1042,8,0,0
2026-01-11,1043,10,1,1
2026-01-11,1044,16,2,1
2026-01-11,1045,15,1,1
2026-01-11,1046,14,2,1
2026-01-11,1047,17,1,1
2026-01-11,1048,16,1,0
2026-01-11,1049,19,1,0
2026-01-11,1050,16,1,0
2026-01-11,1051,13,1,0
2026-01-11,1052,10,1,1
2026-01-11,1053,12,0,0
2026-01-11,1054,10,2,0
2026-01-11,1055,7,0,0
2026-01-11,1056,18,1,1
2026-01-11,1057,16,1,1
2026-01-11,1058,13,0,0
2026-01-11,1059,13,0,0
2026-01-11,1060,14,2,2
2026-01-12,1001,24,2,1
2026-01-12,1002,21,2,2
2026-01-12,1003,14,0,0
2026-01-12,1004,21,4,1
2026-01-12,1005,19,1,0
2026-01-12,1006,27,2,0
2026-01-12,1007,26,0,0
2026-01-12,1008,26,1,1
2026-01-12,1009,28,3,1
2026-01-12,1010,19,3,1
2026-01-12,1011,26,3,0
2026-01-12,1012,31,4,0
2026-01-12,1013,25,3,0
2026-01-12,1014,23,6,1
2026-01-12,1015,21,2,1
2026-01-12,1016,29,4,2
2026-01-12,1017,31,0,0
2026-01-12,1018,26,5,4
2026-01-12,1019,14,3,2
2026-01-12,1020,22,1,0
2026-01-12,1021,23,3,1
2026-01-12,1022,19,2,1
2026-01-12,1023,18,0,0
2026-01-12,1024,18,3,1
2026-01-12,1025,24,3,1
2026-01-12,1026,15,0,0
2026-01-12,1027,27,2,0
2026-01-12,1028,22,5,1
2026-01-12,1029,19,1,0
2026-01-12,1030,23,1,0
2026-01-12,1031,24,1,0
2026-01-12,1032,15,0,0
2026-01-12,1033,14,2,0
2026-01-12,1034,25,2,0
2026-01-12,1035,17,1,1
2026-01-12,1036,26,2,0
2026-01-12,1037,24,2,0
2026-01-12,1038,20,0,0
2026-01-12,1039,25,0,0
2026-01-12,1040,25,1,0
2026-01-12,1041,14,1,0
2026-01-12,1042,26,1,0
2026-01-12,1043,20,1,0
2026-01-12,1044,15,1,1
2026-01-12,1045,15,2,0
2026-01-12,1046,14,1,0
2026-01-12,1047,8,0,0
2026-01-12,1048,10,1,0
2026-01-12,1049,28,2,0
2026-01-12,1050,22,1,1
2026-01-12,1051,10,0,0
2026-01-12,1052,9,0,0
2026-01-12,1053,8,0,0
2026-01-12,1054,8,0,0
2026-01-12,1055,14,1,0
2026-01-12,1056,14,1,1
2026-01-12,1057,13,3,1
2026-01-12,1058,14,4,1
2026-01-12,1059,9,2,0
2026-01-12,1060,9,1,0
2026-01-13,1001,31,5,1
2026-01-13,1002,17,0,0
2026-01-13,1003,26,3,1
2026-01-13,1004,20,2,0
2026-01-13,1005,21,1,0
2026-01-13,1006,29,1,0
2026-01-13,1007,27,2,0
2026-01-13,1008,28,4,2
2026-01-13,1009,26,4,1
2026-01-13,1010,24,0,0
2026-01-13,1011,27,2,0
2026-01-13,1012,21,1,0
2026-01-13,1013,26,4,0
2026-01-13,1014,18,1,1
2026-01-13,1015,17,1,0
2026-01-13,1016,29,4,1
2026-01-13,1017,20,1,0
2026-01-13,1018,19,1,0
2026-01-13,1019,18,3,1
2026-01-13,1020,21,1,0
2026-01-13,1021,20,2,0
2026-01-13,1022,16,3,0
2026-01-13,1023,25,1,0
2026-01-13,1024,17,0,0
2026-01-13,1025,17,2,0
2026-01-13,1026,21,1,0
2026-01-13,1027,15,0,0
2026-01-13,1028,21,1,0
2026-01-13,1029,26,1,1
2026-01-13,1030,20,0,0
2026-01-13,1031,19,0,0
2026-01-13,1032,25,0,0
2026-01-13,1033,17,1,1
2026-01-13,1034,22,3,0
2026-01-13,1035,18,1,0
2026-01-13,1036,22,2,0
2026-01-13,1037,24,2,1
2026-01-13,1038,22,1,0
2026-01-13,1039,24,0,0
2026-01-13,1040,20,2,1
2026-01-13,1041,16,2,1
2026-01-13,1042,16,0,0
2026-01-13,1043,9,0,0
2026-01-13,1044,13,1,0
2026-01-13,1045,16,2,0
2026-01-13,1046,18,1,0
2026-01-13,1047,13,1,0
2026-01-13,1048,14,1,0
2026-01-13,1049,14,2,1
2026-01-13,1050,15,0,0
2026-01-13,1051,11,1,1
2026-01-13,1052,11,1,0
2026-01-13,1053,11,0,0
2026-01-13,1054,14,0,0
2026-01-13,1055,19,1,0
2026-01-13,1056,16,3,2
2026-01-13,1057,14,1,0
2026-01-13,1058,11,0,0
2026-01-13,1059,10,1,1
2026-01-13,1060,14,2,0
2026-01-14,1001,23,3,2
2026-01-14,1002,21,3,1
2026-01-14,1003,25,2,1
2026-01-14,1004,26,3,1
2026-01-14,1005,27,2,0
2026-01-14,1006,26,0,0
2026-01-14,1007,31,3,2
2026-01-14,1008,19,1,0
2026-01-14,1009,15,2,1
2026-01-14,1010,36,5,2
2026-01-14,1011,27,1,0
2026-01-14,1012,19,2,0
2026-01-14,1013,15,1,0
2026-01-14,1014,24,2,1
2026-01-14,1015,23,3,1
2026-01-14,1016,25,4,1
2026-01-14,1017,22,4,1
2026-01-14,1018,21,1,1
2026-01-14,1019,26,5,2
2026-01-14,1020,15,2,0
2026-01-14,1021,28,3,3
2026-01-14,1022,18,3,2
2026-01-14,1023,27,2,0
2026-01-14,1024,14,2,1
2026-01-14,1025,23,1,0
2026-01-14,1026,15,1,0
2026-01-14,1027,15,0,0
2026-01-14,1028,17,2,0
2026-01-14,1029,14,0,0
2026-01-14,1030,20,2,1
2026-01-14,1031,22,0,0
2026-01-14,1032,15,0,0
2026-01-14,1033,17,0,0
2026-01-14,1034,25,0,0
2026-01-14,1035,21,0,0
2026-01-14,1036,21,1,1
2026-01-14,1037,22,1,0
2026-01-14,1038,18,0,0
2026-01-14,1039,33,2,0
2026-01-14,1040,13,1,0
2026-01-14,1041,14,0,0
2026-01-14,1042,13,1,0
2026-01-14,1043,14,1,0
2026-01-14,1044,10,0,0
2026-01-14,1045,15,0,0
2026-01-14,1046,20,2,0
2026-01-14,1047,17,0,0
2026-01-14,1048,23,4,2
2026-01-14,1049,17,1,0
2026-01-14,1050,18,1,0
2026-01-14,1051,10,0,0
2026-01-14,1052,15,1,0
2026-01-14,1053,11,1,0
2026-01-14,1054,12,0,0
2026-01-14,1055,16,2,1
2026-01-14,1056,9,1,1
2026-01-14,1057,12,0,0
2026-01-14,1058,13,1,0
2026-01-14,1059,10,1,1
2026-01-14,1060,16,0,0
2026-01-15,1001,25,2,2
2026-01-15,1002,33,5,3
2026-01-15,1003,21,2,0
2026-01-15,1004,23,3,2
2026-01-15,1005,31,2,0
2026-01-15,1006,27,5,2
2026-01-15,1007,23,1,0
2026-01-15,1008,20,4,3
2026-01-15,1009,25,3,1
2026-01-15,1010,21,3,0
2026-01-15,1011,27,0,0
2026-01-15,1012,26,3,2
2026-01-15,1013,17,1,0
2026-01-15,1014,27,4,0
2026-01-15,1015,18,1,1
2026-01-15,1016,27,1,0
2026-01-15,1017,25,2,0
2026-01-15,1018,14,2,1
2026-01-15,1019,21,1,0
2026-01-15,1020,22,3,0
2026-01-15,1021,24,1,0
2026-01-15,1022,21,1,0
2026-01-15,1023,21,1,0
2026-01-15,1024,20,3,2
2026-01-15,1025,16,1,1
2026-01-15,1026,14,3,2
2026-01-15,1027,19,1,0
2026-01-15,1028,21,2,1
2026-01-15,1029,16,2,1
2026-01-15,1030,14,2,0
2026-01-15,1031,26,3,1
